Name,Year,Date,Comp,Age,Event,Location,Place,Round,Time,Time_sec,Partner
JH,2015,15/3/15,Nationals,U16,MK1 1000m,SIRC,1,Final,03:52.9,232.9,
JH,2015,15/3/15,Nationals,U16,MK1 200m,SIRC,3,Final,00:42.3,42.3,
JH,2015,15/3/15,Nationals,U16,MK2 1000m,SIRC,1,Final,03:40.0,220,Angus Schmidt
JH,2015,15/3/15,Nationals,U16,MK2 200m,SIRC,1,Final,00:39.9,39.9,Angus Schmidt
JH,2015,15/3/15,Nationals,U16,MK2 500m,SIRC,2,Final,01:45.5,105.5,Angus Schmidt
JH,2016,6/3/16,Nationals,U18,MK1 1000m,Perth,4,Final,03:45.5,225.5,
JH,2016,5/3/16,Nationals,U18,MK1 1000m,Perth,2,Semi-Final,03:41.8,221.8,
JH,2016,6/3/16,Nationals,U18,MK2 1000m,Perth,2,Final,03:23.3,203.3,Angus Schmidt
JH,2016,26/7/16,World Champs,U18,MK2 1000m,Belarus,5,Heat,03:24.7,204.7,Joshua Jones-Rew
JH,2016,27/7/16,World Champs,U18,MK2 1000m,Belarus,8,Semi-Final,03:21.8,201.8,Joshua Jones-Rew
JH,2016,6/3/16,Nationals,U18,MK2 200m,Perth,4,Final,00:39.4,39.4,Angus Schmidt
JH,2016,4/3/16,Nationals,U18,MK2 200m,Perth,3,Heat,00:36.9,36.9,Angus Schmidt
JH,2016,6/3/16,Nationals,U18,MK2 500m,Perth,2,Final,01:42.7,102.7,Angus Schmidt
JH,2017,27/7/17,World Champs,U18,MK1 1000m,Romania,2,B Final,03:52.7,232.7,
JH,2017,10/3/17,Nationals,U18,MK1 1000m,SIRC,1,Final,03:45.7,225.7,
JH,2017,26/7/17,World Champs,U18,MK1 1000m,Romania,4,Semi-Final,03:46.2,226.2,
JH,2017,10/3/17,Nationals,U18,MK1 500m,SIRC,3,Final,01:50.6,110.6,
JH,2017,9/3/17,Nationals,U18,MK1 500m,SIRC,1,Semi-Final,01:47.2,107.2,
JH,2017,10/3/17,Nationals,U18,MK2 1000m,SIRC,1,Final,03:33.2,213.2,Angus Schmidt
JH,2017,10/3/17,Nationals,U18,MK2 200m,SIRC,3,Final,00:37.2,37.2,Angus Schmidt
JH,2017,10/3/17,Nationals,U18,MK2 500m,SIRC,1,Final,01:41.8,101.8,Angus Schmidt
JH,2018,10/3/18,Nationals,U23,MK1 200m,SIRC,7,C Final,00:38.3,38.3,
JH,2018,9/3/18,Nationals,U23,MK1 200m,SIRC,6,Semi-Final,00:37.5,37.5,
JH,2018,10/3/18,Nationals,U23,MK1 500m,SIRC,2,B Final,01:48.9,108.9,
JH,2018,9/3/18,Nationals,U23,MK1 500m,SIRC,5,Semi-Final,01:47.6,107.6,
JH,2018,10/3/18,Nationals,U23,MK2 1000m,SIRC,7,Final,03:28.1,208.1,Jy Duffy
JH,2018,10/3/18,Nationals,U23,MK2 500m,SIRC,1,B Final,01:37.7,97.7,Jy Duffy
JH,2019,10/3/19,Nationals,U23,MK1 1000m,Perth,7,Final,03:42.9,222.9,
